olddrugname,cleandrugname
hc golimumab 100 mg injection pre filled pen,golimumab
hc golimumab 50 mg injection pre filled pen,golimumab
hc golimumab 50 mg injection prefilled syringe,golimumab
hc guselkumab 100 mg injection pen,IL23
hc ixekizumab 80 mg injection pen,IL17
hc ixekizumab 80 mg prefilled syringe,IL17
hc mepolizumab!100mg/1ml solution for injection pen (1),mepolizumab
hc omalizumab xolair 150 mg prefilled syringe,omalizumab
hc omalizumab xolair 75 mg prefilled syringe,omalizumab
hc rituximab 1400 mg injection,B cell
hc sarilumab 200 mg injection pen,IL6
hc secukinumab 150 mg in 1ml injection pre filled pen,IL17
hc secukinumab 150 mg in 1ml injection prefilled syringe,IL17
hc tocilizumab 162 mg in 0.9ml subcutaneous injection,IL6
hc tocilizumab 162 mg in 0.9ml subcutaneous injection pen,IL6
hc tofacitinib 10 mg tablets,JAKi
hc tofacitinib 5 mg tablets,JAKi
hc ustekinumab 45 mg in 0.5ml injection prefilled syringe,ustekinumab
hc ustekinumab 90 mg in 1ml injection prefilled syringe,ustekinumab
hd_adalimumab 40mg/0.4ml pre-filled pen (2),adalimumab
home- guselkumab 100mg/1ml pre-filled pen (1 pen),IL23
home-adalimumab 40mg-0.8ml pf pen(amgevita)(0.8ml),adalimumab
home-adalimumab 40mg/0.8ml pf pen(amgevita)(0.8ml),adalimumab
home-risankizumab 75mg/0.83ml solution for inj pfs,IL23
home - adalimumab 40mg-0.8ml pf  pen (amgevita)(0.8ml),adalimumab
home - adalimumab 40mg  -0.8ml pf  pen (amgevita)(0.8ml),adalimumab
home - adalimumab 40mg/0.8ml pf  pen (amgevita)(0.8ml),adalimumab
home - adalimumab 40mg/0.8ml pf pen amgevita0.8ml,adalimumab
home - adalimumab 40mg/0.8ml pf pen(amgevita)0.8ml,adalimumab
home - guselkumab 100mg-1ml pre-filled pen (1 pen),IL23
home - guselkumab 100mg  -1ml pre-filled pen (1 pen),IL23
home - guselkumab 100mg/1ml pre-filled pen (1 pen),IL23
home - risankizumab 75mg-0.83ml solution for inj pfs,IL23
home adalimumab 40mg-0.4ml pen (derm - hs only),adalimumab
home adalimumab 40mg-0.8ml pf syringe (amgevita),adalimumab
home adalimumab 40mg-0.8ml pf syringe (amgevita) ,adalimumab
home adalimumab 40mg  -0.8ml pf syringe (amgevita),adalimumab
home adalimumab 40mg  -0.8ml pf syringe (amgevita) ,adalimumab
home adalimumab 40mg/0.4ml pen (derm - hs only),adalimumab
home adalimumab 40mg/0.8ml pf syringe (amgevita),adalimumab
home adalimumab 40mg/0.8ml pf syringe (amgevita) ,adalimumab
home adalimumab inj 40mg/0.4ml pen (humira),adalimumab
home adalimumab inj 40mg/0.4ml pen (humira),adalimumab
home adalimumab inj 40mg/0.4ml pfs (humira),adalimumab
home adalimumab inj40mg/0.4ml pen (humira),adalimumab
home adalimumab injection 40mg-0.4ml pen (humira),adalimumab
home adalimumab injection 40mg-0.4ml pfs (humira),adalimumab
home adalimumab injection 40mg  -0.4ml pen (humira)       ,adalimumab
home adalimumab injection 40mg  -0.4ml pfs (humira),adalimumab
home adalimumab injection 40mg/0.4ml pen (humira),adalimumab
home adalimumab injection 40mg/0.4ml pfs (humira),adalimumab
home anakinra injection 100mg-0.67ml pfs (kineret),anakinra
home anakinra injection 100mg  -0.67ml pfs (kineret),anakinra
home anakinra injection 100mg/0.67ml pfs (kineret),anakinra
home baricitinib 4mg tablets,JAKi
home baricitinib 4mg tablets ,JAKi
home baricitinib 4mg tablets (28pk),JAKi
home certolizumab pegol 200mg-1ml inj (cimzia),certolizumab
home certolizumab pegol 200mg-1ml injection (cimzia),certolizumab
home certolizumab pegol 200mg-1ml pen (2pk),certolizumab
home certolizumab pegol 200mg  -1ml injection (cimzia)    ,certolizumab
home certolizumab pegol 200mg  -1ml pen (2pk),certolizumab
home certolizumab pegol 200mg/1ml inj (cimzia),certolizumab
home certolizumab pegol 200mg/1ml inj (cimzia),certolizumab
home certolizumab pegol 200mg/1ml injection (cimzi,certolizumab
home certolizumab pegol 200mg/1ml injection (cimzia)    ,certolizumab
home certolizumab pegol 200mg/1ml pen (2pk),certolizumab
home dupilumab 300mg-2ml soln for inj (1),dupilumab
home dupilumab 300mg-2ml solution for inj (1),dupilumab
home dupilumab 300mg-2ml solution for injection (1),dupilumab
home dupilumab 300mg  -2ml solution for injection (1),dupilumab
home dupilumab 300mg/2ml soln for inj (1),dupilumab
home dupilumab 300mg/2ml solution for inj (1),dupilumab
home dupilumab 300mg/2ml solution for inj (1),dupilumab
home dupilumab 300mg/2ml solution for injection (1,dupilumab
home dupilumab 300mg/2ml solution for injection (1),dupilumab
home etanercept 25mg injection enbrel (pfs),etanercept
home etanercept 50mg-ml pen (benepali) 4pk,etanercept
home etanercept 50mg-ml pfs (benepali) 4pk,etanercept
home etanercept 50mg  -ml pen (benepali) 4pk,etanercept
home etanercept 50mg inj (pen),etanercept
home etanercept 50mg injection enbrel (pfs),etanercept
home etanercept 50mg injection enbrel(pen),etanercept
home etanercept 50mg injpfs),etanercept
home etanercept 50mg/ml pen (benepali) 4pk,etanercept
home etanercept 50mg/ml pfs (benepali) 4pk,etanercept
home golimumab 100mg-1ml pre-filled pen (smartject),golimumab
home golimumab 100mg-1ml pre-filled pen(smartject),golimumab
home golimumab 100mg  -1ml pre-filled pen (smartject)     ,golimumab
home golimumab 100mg/1ml pre-filled pen (smartject,golimumab
home golimumab 100mg/1ml pre-filled pen (smartject)     ,golimumab
home golimumab 100mg/1ml pre-filled pen(smartject),golimumab
home ixekizumab 80mg-1ml pen (taltz),IL17
home ixekizumab 80mg  -1ml pen (taltz),IL17
home ixekizumab 80mg/1ml pen (taltz),IL17
home secukinumab 150mg-ml injection (pen) 2pk,IL17
home secukinumab 150mg-ml injection (pen) foc,IL17
home secukinumab 150mg  -ml injection (pen) 2pk           ,IL17
home secukinumab 150mg/ml injection (pen) 2pk,IL17
home service fee - anakinra,anakinra
home tocilizumab 162mg-0.9ml pfs (4 pack),IL6
home tocilizumab 162mg/0.9ml pfs (4 pack),IL6
home ustekinumab 45mg-0.5ml injection (syringe)         ,ustekinumab
home ustekinumab 45mg  -0.5ml injection (syringe)         ,ustekinumab
home ustekinumab 45mg/0.5ml inj (syringe),ustekinumab
home ustekinumab 45mg/0.5ml inj (syringe),ustekinumab
home ustekinumab 45mg/0.5ml injection (syr),ustekinumab
home ustekinumab 45mg/0.5ml injection (syringe),ustekinumab
home ustekinumab 90mg-1ml injection (pfs),ustekinumab
home ustekinumab 90mg  -1ml injection (pfs),ustekinumab
home ustekinumab 90mg/1ml injection (pfs),ustekinumab
homecare - abatacept,abatacept
homecare - abatacept (1ml),abatacept
homecare - abatacept (1ml) 125 mg prefilled syringe,abatacept
homecare - abatacept 125 mg prefilled pen,abatacept
homecare - adalimumab  pre-filled syringe 40 mg injection,adalimumab
homecare - adalimumab (amgevita),adalimumab
homecare - adalimumab (amgevita) (homecare) 20 mg,adalimumab
homecare - adalimumab (amgevita) (homecare) 40 mg,adalimumab
homecare - adalimumab (amgevita) 20 mg prefilled syringe,adalimumab
homecare - adalimumab (amgevita) 40 mg in 0.8ml auto injector pen,adalimumab
homecare - adalimumab (amgevita) 40 mg in 0.8ml prefilled syringe,adalimumab
homecare - adalimumab (amgevita) 40 mg prefilled pen,adalimumab
homecare - adalimumab (amgevita) 40 mg prefilled syringe,adalimumab
homecare - adalimumab (homecare) (amgevita) 20 mg,adalimumab
homecare - adalimumab (homecare) (amgevita) 40 mg,adalimumab
homecare - adalimumab (homecare) (humira) 20 mg p,adalimumab
homecare - adalimumab (homecare) (humira) 20 mg pr,adalimumab
homecare - adalimumab (homecare) 20 mg pre-filled,adalimumab
homecare - adalimumab (humira),adalimumab
homecare - adalimumab (humira) (homecare) 20 mg pr,adalimumab
homecare - adalimumab (humira) (homecare) 40 mg pr,adalimumab
homecare - adalimumab (humira) (pre-filled pens),adalimumab
homecare - adalimumab (humira) (pre-filled pens) 4,adalimumab
homecare - adalimumab (humira) (pre-filled syring,adalimumab
homecare - adalimumab (humira) (pre-filled syringe,adalimumab
homecare - adalimumab (humira) 40 mg in 0.4ml auto injector pen,adalimumab
homecare - adalimumab (humira) 40 mg in 0.4ml prefilled syringe,adalimumab
homecare - adalimumab (humira) 40 mg injection,adalimumab
homecare - adalimumab (humira) auto injector pen 40 mg,adalimumab
homecare - adalimumab (humira) prefilled syringe,adalimumab
homecare - adalimumab (humira) prefilled syringe 40 mg,adalimumab
homecare - adalimumab (pre-filled pens) 40 mg inj,adalimumab
homecare - adalimumab (pre-filled pens) 40 mg inje,adalimumab
homecare - adalimumab (pre-filled syringe) 40 mg,adalimumab
homecare - adalimumab (pre-filled syringe) 40 mg i,adalimumab
homecare - adalimumab 20 mg prefilled syringe,adalimumab
homecare - adalimumab 40 mg in 0.8ml auto injector pen,adalimumab
homecare - adalimumab 40 mg in 0.8ml prefilled syringe,adalimumab
homecare - adalimumab auto injector pen 40 mg injection,adalimumab
homecare - anakinra 100 mg injection,anakinra
homecare - baricitinib,JAKi
homecare - baricitinib 2 mg tablets,JAKi
homecare - baricitinib 4 mg tablets,JAKi
homecare - certolizumab (chargeable),certolizumab
homecare - certolizumab (chargeable) 200 mg in 1ml auto injector pen,certolizumab
homecare - certolizumab (chargeable) 200 mg in 1ml prefilled syringe,certolizumab
homecare - certolizumab (non-chargeable),certolizumab
homecare - certolizumab (non-chargeable) 200 mg in 1ml auto injector pen,certolizumab
homecare - dupilumab (foc via eams) (homecare) 30,dupilumab
homecare - dupilumab (foc via eams) (homecare) 300,dupilumab
homecare - dupilumab (homecare) 300 mg in 2ml sub,dupilumab
homecare - dupilumab 300 mg prefilled syringe,dupilumab
homecare - etanercept (benepali pre-filled pen),etanercept
homecare - etanercept (benepali pre-filled pen) 50 mg injection,etanercept
homecare - etanercept (benepali pre-filled syringe) 25 mg injection,etanercept
homecare - etanercept (benepali pre-filled syringe) 50 mg injection,etanercept
homecare - etanercept (benepali),etanercept
homecare - etanercept (benepali) (homecare) 50 mg,etanercept
homecare - etanercept (benepali) 50 mg in 1ml prefilled pen,etanercept
homecare - etanercept (benepali) 50 mg pre-filled,etanercept
homecare - etanercept (benepali) pen 50 mg injection,etanercept
homecare - etanercept (enbrel vial and diluent),etanercept
homecare - etanercept (enbrel vial and diluent) 10 mg injection,etanercept
homecare - etanercept (enbrel vial and diluent) 25 mg injection,etanercept
homecare - etanercept (enbrel),etanercept
homecare - etanercept (enbrel) (homecare) 25 mg in,etanercept
homecare - etanercept (enbrel) 25 mg in 0.5ml prefilled syringe,etanercept
homecare - etanercept (enbrel) 25 mg injection,etanercept
homecare - etanercept (enbrel) 25 mg prefilled syringe,etanercept
homecare - etanercept (enbrel) 50 mg in 1ml prefilled syringe,etanercept
homecare - etanercept (enbrel) 50 mg pre-filled s,etanercept
homecare - etanercept (enbrel) 50 mg pre-filled sy,etanercept
homecare - etanercept (enbrel) 50 mg prefilled syringe,etanercept
homecare - etanercept (enbrel) 50mg prefilled pen,etanercept
homecare - etanercept (enbrel) myclic,etanercept
homecare - etanercept (enbrel) myclic 50 mg in 1ml prefilled pen,etanercept
homecare - etanercept (enbrel) myclic pre filled pen 50 mg injection,etanercept
homecare - etanercept (enbrel) pre-filled syringe 25 mg injection,etanercept
homecare - etanercept (enbrel) pre-filled syringe 50 mg injection,etanercept
homecare - etanercept (erelzi) pfs,etanercept
homecare - etanercept (erelzi) pfs 50 mg injection,etanercept
homecare - etanercept (erelzi) pre-filled pen,etanercept
homecare - etanercept (erelzi) pre-filled pen 50 mg injection,etanercept
homecare - etanercept (erelzi) pre-filled syringe,etanercept
homecare - etanercept (erelzi) pre-filled syringe 25 mg injection,etanercept
homecare - etanercept (homecare) (enbrel) 50 mg p,etanercept
homecare - etanercept (homecare) (enbrel) 50 mg pr,etanercept
homecare - etanercept 25 mg injection,etanercept
homecare - etanercept 50 mg prefilled syringe,etanercept
homecare - etanercept paediatric (enbrel) 25 mg i,etanercept
homecare - etanercept paediatric (enbrel) 25 mg in,etanercept
homecare - golimumab auto injector pen,golimumab
homecare - golimumab auto injector pen 100 mg in 1ml injection,golimumab
homecare - golimumab auto injector pen 50 mg in 0.5ml injection,golimumab
homecare - iv chemo rituximab nursing fee (homeca,B cell
homecare - iv chemo rituximab nursing fee (homecar,B cell
homecare - ixekizumab 80 mg in 1ml injection,IL17
homecare - rituximab (homecare) (truxima) 601-700,B cell
homecare - rituximab (truxima) 601-700 mg in sali,B cell
homecare - rituximab (truxima) 601-700 mg in salin,B cell
homecare - sarilumab,IL6
homecare - sarilumab 150 mg prefilled pen,IL6
homecare - sarilumab 200 mg prefilled pen,IL6
homecare - secukinumab,IL17
homecare - secukinumab 150 mg in 1ml prefilled pen,IL17
homecare - secukinumab 150 mg in 1ml prefilled syringe,IL17
homecare - tocilizumab,IL6
homecare - tocilizumab (homecare) 162 mg injectio,IL6
homecare - tocilizumab (homecare) 162 mg injection,IL6
homecare - tocilizumab 162 mg prefilled pen,IL6
homecare - tocilizumab 162 mg prefilled syringe,IL6
homecare - tofacitinab,JAKi
homecare - tofacitinab 10 mg tablets,JAKi
homecare - tofacitinab 5 mg tablets,JAKi
homecare - ustekinumab,ustekinumab
homecare - ustekinumab (homecare) 45 mg in 0.5ml,ustekinumab
homecare - ustekinumab (homecare) 45mg in 0.5ml,ustekinumab
homecare - ustekinumab (homecare) 90 mg in 1ml in,ustekinumab
homecare - ustekinumab (homecare) 90 mg in 1ml inj,ustekinumab
homecare - ustekinumab (homecare) 90mg in 1mlin,ustekinumab
homecare - ustekinumab 45 mg in 0.5ml injection,ustekinumab
homecare - ustekinumab 45 mg in 0.5ml prefilled syringe,ustekinumab
homecare - ustekinumab 90 mg in 1ml prefilled syringe,ustekinumab
homecare -tocilizumab,IL6
homecare  baricitinib 4 mg tablets,JAKi
homecare (benepali) etanercept device - dose as pr,etanercept
homecare (benepali) etanercept device - dose as prescription 50 mg injection,etanercept
homecare (cosentyx) secukinumab device  as prescription 150 mg injection,IL17
homecare (cosentyx) secukinumab pen - dose as prescription 150 mg injection,IL17
homecare (enbrel) etanercept pen - dose as prescription 50 mg injection,etanercept
homecare abatacept,abatacept
homecare abatacept 125 mg pre-filled pen 4 x prefilled pen pre-loaded pen,abatacept
homecare abatacept 125 mg prefilled pen,abatacept
homecare abatacept preffilled pen 125 mg injection,abatacept
homecare abatacept^ (orencia),abatacept
homecare abatacept^ (orencia) 125 mg pre-filled pe,abatacept
homecare adalimumab,adalimumab
homecare adalimumab (amgevita),adalimumab
homecare adalimumab (amgevita) reference price^,adalimumab
homecare adalimumab (humira),adalimumab
homecare adalimumab (humira) 20 mg syringe 2 syringe box,adalimumab
homecare adalimumab (humira) 40 mg pre-filled pen 2 x 40mg prefilled pen pack,adalimumab
homecare adalimumab (humira) 40 mg pre-filled syringe 2 x 40mg prefilled syringe pack,adalimumab
homecare adalimumab (imraldi),adalimumab
homecare adalimumab 40mg injection (amgevita) (1),adalimumab
homecare adalimumab 40mg injection (amgevita) (1)g,adalimumab
homecare adalimumab 40mg injection (amgevita) (1)gain share,adalimumab
homecare adalimumab 40mg injection (amgevita) (1)gainshare,adalimumab
homecare adalimumab 40mg injection (humira) (1),adalimumab
homecare adalimumab 40mg injection (humira) (1)gain share,adalimumab
homecare adalimumab 40mg/0.4ml!pre-filled pen(2)(hs),adalimumab
homecare adalimumab pen,adalimumab
homecare adalimumab pen (amgevita) 40 mg in 0.8ml injection,adalimumab
homecare adalimumab pen (humira),adalimumab
homecare adalimumab pen (humira) 40 mg in 0.4ml injection,adalimumab
homecare adalimumab prefilled device - (humira) 40,adalimumab
homecare adalimumab prefilled device - (humira) 40 mg injection,adalimumab
homecare adalimumab prefilled device - (hyrimoz) 40 mg injection,adalimumab
homecare adalimumab prefilled device - as prescription 40 mg injection,adalimumab
homecare adalimumab syringe,adalimumab
homecare adalimumab syringe (amgevita) 20 mg in 0.4ml injection,adalimumab
homecare adalimumab syringe (amgevita) 40 mg in 0.8ml injection,adalimumab
homecare adalimumab syringe (humira),adalimumab
homecare adalimumab syringe (humira) 40 mg in 0.4ml injection,adalimumab
homecare adalimumab!40mg/0.4ml pre-filled pen (2),adalimumab
homecare adalimumab!40mg/0.4ml pre-filled pen (2)(staff),adalimumab
homecare adalimumab!40mg/0.8ml! pen (hyrimoz),adalimumab
homecare adalimumab!40mg/0.8ml!pen (amgevita),adalimumab
homecare adalimumab!40mg/0.8ml!pen (hyrimoz) (hs),adalimumab
homecare adalimumab!40mg/0.8ml!pfs (amgevita),adalimumab
homecare adalimumab^ (amgevita) 40 mg pre-filled p,adalimumab
homecare adalimumab^ (humira),adalimumab
homecare adalimumab^ (humira) 40 mg pre-filled pen,adalimumab
homecare amgevita (adalimumab),adalimumab
homecare amgevita (adalimumab) 40 mg pre-filled pen 2 x 40mg prefilled pen pack,adalimumab
homecare amgevita (adalimumab) 40 mg pre-filled syringe 2 x 40mg prefilled syringe pack,adalimumab
homecare amgevita pen adalimumab,adalimumab
homecare amgevita syringe adalimumab,adalimumab
homecare baricitinib,JAKi
homecare baricitinib (olumiant)^,JAKi
homecare baricitinib 2mg tablets (1),JAKi
homecare baricitinib 4 mg tablets,JAKi
homecare benepali pen etanercept,etanercept
homecare benepali syringe etanercept,etanercept
homecare brodalumab,IL17
homecare brodalumab (kyntheum),IL17
homecare brodalumab (kyntheum) 210 mg in 1.5ml injection 2 x 1.5ml pre-filled syringe pack,IL17
homecare certolizumab,certolizumab
homecare certolizumab 200 mg in 1ml injection 200 mg prefilled syringe,certolizumab
homecare certolizumab 200 mg in 1ml pre-filled pen 1 ml pre-loaded pen,certolizumab
homecare certolizumab pegol,certolizumab
homecare certolizumab pegol 200mg/ml syringe (1),certolizumab
homecare certolizumab pegol 200mg/ml syringe (1)        ,certolizumab
homecare certolizumab^,certolizumab
homecare certolizumab^ 200 mg solution for injecti,certolizumab
homecare certolizumab^ foc,certolizumab
homecare charge - adalimumab_hc,adalimumab
homecare charge - etanercept_hc,etanercept
homecare cimzia pen certolizumab pegol,certolizumab
homecare cimzia syringe certolizumab pegol,certolizumab
homecare cosentyx pen secukinumab,IL17
homecare delivery fee - anakinra 4wk (h@h),anakinra
homecare dupilumab (dupixent),dupilumab
homecare dupilumab (dupixent) 300 mg pre-filled syringe 2 x prefilled syringe box,dupilumab
homecare dupilumab 300mg/2ml sol for inj (2 syringes),dupilumab
homecare dupilumab^ (dupixent),dupilumab
homecare enbrel myclic etanercept,etanercept
homecare enbrel vial etanercept,etanercept
homecare etanercept (benepali),etanercept
homecare etanercept (benepali),etanercept
homecare etanercept (enbrel),etanercept
homecare etanercept 50mg pfs/pen benepali (1),etanercept
homecare etanercept 50mg pfs/pen benepali (1) gain,etanercept
homecare etanercept 50mg pfs/pen benepali (1) gain share,etanercept
homecare etanercept 50mg pfs/pen benepali (1)gain ,etanercept
homecare etanercept 50mg pfs/pen benepali (1)gain share,etanercept
homecare etanercept 50mg pfs/pen benepali (1)gains,etanercept
homecare etanercept 50mg pfs/pen benepali (1)gainshare,etanercept
homecare etanercept for paediatric use (enbrel),etanercept
homecare etanercept syringe - dose as per prescription 50 mg injection,etanercept
homecare etanercept^ (benepali),etanercept
homecare etanercept^ (benepali) 50 mg pre-filled p,etanercept
homecare etanercept^ (benepali) 50 mg pre-filled s,etanercept
homecare golimumab,golimumab
homecare golimumab 100 mg in 1ml pre-filled pen 1 ml pre-loaded pen,golimumab
homecare golimumab 50 mg in 0.5ml pre-filled pen 1 dose box,golimumab
homecare golimumab^ (simponi),golimumab
homecare golimumab^ (simponi) 50 mg pre-filled pen,golimumab
homecare guselkumab,IL23
homecare humira pen adalimumab,adalimumab
homecare imraldi (adalimumab),adalimumab
homecare imraldi (adalimumab) 40 mg pre-filled pen 2 x 40mg prefilled pen pack,adalimumab
homecare imraldi (adalimumab) 40 mg pre-filled syringe 2 x 40mg prefilled syringe pack,adalimumab
homecare imraldi pen adalimumab,adalimumab
homecare imraldi syringe adalimumab,adalimumab
homecare infliximab,infliximab
homecare infliximab  infusion 1 mg bag,infliximab
homecare infliximab  infusion 100 mg vial,infliximab
homecare ixekizumab,IL17
homecare ixekizumab 80 mg in 1ml prefilled pen,IL17
homecare orencia pen abatacept,abatacept
homecare rituximab sub cut charge hah oncology,B cell
homecare rituximab visit hah oncology,B cell
homecare roactemra pen tocilizumab,IL6
homecare sarilumab,IL6
homecare secukinumab,IL17
homecare secukinumab (cosentyx) 150 mg prefilled pen,IL17
homecare secukinumab 150 mg pre-filled pen 2 x pre-filled device box,IL17
homecare secukinumab 150 mg pre-filled syringe 2 x 1ml prefilled pen pack,IL17
homecare secukinumab 150mg/ml!inj (pre-filled pen)(2),IL17
homecare secukinumab 150mg/ml!inj (pre-filled syringe)2,IL17
homecare secukinumab^ (cosentyx) 150 mg pre-filled,IL17
homecare simponi pen smartject golimumab,golimumab
homecare stelara ustekinumab,ustekinumab
homecare tildrakizumab,IL23
homecare tocilizumab,IL6
homecare tocilizumab,IL6
homecare tocilizumab 162 mg pre-filled pen 4 x prefilled pen box,IL6
homecare tocilizumab 162mg in 0.9ml pre-filled syringe pre-filled syringe 4 x 0.9ml pre-filled syringe pack,IL6
homecare tocilizumab 162mg/0.9ml pre-filled pen (1,IL6
homecare tocilizumab 162mg/0.9ml pre-filled pen (1),IL6
homecare tofacitinib,JAKi
homecare tofacitinib (xeljanz) 5 mg tablets,JAKi
homecare tofacitinib 10mg tablets (1),JAKi
homecare tofacitinib 5mg tablets (1),JAKi
homecare tofacitinib^,JAKi
homecare tofacitinib^ 5 mg tablet(s),JAKi
homecare ustekinumab,ustekinumab
homecare ustekinumab 45 mg in 0.5ml syringe 0.5 ml syringe,ustekinumab
homecare ustekinumab 45mg/0.5ml syringe,ustekinumab
homecare ustekinumab 45mg/0.5ml syringe                 ,ustekinumab
homecare ustekinumab 90 mg in 1ml pre-filled syringe 1 ml prefilled syringe,ustekinumab
homecare ustekinumab 90mg syringe,ustekinumab
homecare ustekinumab 90mg syringe                       ,ustekinumab
homecare ustekinumab!45mg/0.5ml injection! (2 vial),ustekinumab
homecare ustekinumab!45mg/0.5ml!pre-filled syringe,ustekinumab
homecare ustekinumab!90mg/1ml!injection (1 vial),ustekinumab
homecare ustekinumab!90mg/1ml!pre-filled syringe(1),ustekinumab
homecare ustekinumab^ (stelara),ustekinumab
homecare ustekinumab^ (stelara) (under 100kg) 45 m,ustekinumab
homecare ustekinumab^ (stelara) 45 mg in 0.5ml inj,ustekinumab
homecare ustekinumab^ (stelara) 90 mg in 1ml injec,ustekinumab
humira,adalimumab
humira,adalimumab
humira (adalimumab) (homecare),adalimumab
humira (homecare pen pack) adalimumab,adalimumab
humira (homecare syringe pack) adalimumab,adalimumab
humira (homecare) 40 mg pre-filled pen,adalimumab
humira 40mg pen (homecare),adalimumab
humira 40mg/0.4ml solution for injection pre-filled pen (abbvie ltd),adalimumab
humira 40mg/0.4ml solution for injection pre-filled pen (abbvie ltd) 2 pre-filled disposable injection,adalimumab
humira 40mg/0.4ml solution for injection pre-filled syringes (abbvie ltd),adalimumab
humira 40mg/0.4ml solution for injection pre-filled syringes (abbvie ltd),adalimumab
humira 40mg/0.4ml solution for injection pre-filled syringes (abbvie ltd) 2 pre-filled disposable injection,adalimumab
humira pen <6>,adalimumab
humira pen 40mg / 0.4ml <2>,adalimumab
humira pen 40mg / 0.4ml <4>,adalimumab
humira pen 40mg / 0.4ml <8>,adalimumab
humira pen 40mg/0.4ml,adalimumab
humira pen 40mg/0.4ml                   ,adalimumab
humira syringe  40mg/0.4ml,adalimumab
humira syringe  40mg/0.4ml              ,adalimumab
humira syringe 20mg/0.2ml,adalimumab
humira(adalimumab)40mg pen [2],adalimumab
hyrimoz (homecare) 40 mg pre-filled pen,adalimumab
hyrimoz40mg/0.8mlsolutionforinjectionpre-filledpen(sandozltd)2pre-filleddisposableinject,adalimumab
imraldi,adalimumab
imraldi (adalimumab),adalimumab
imraldi (homecare pen pack) adalimumab,adalimumab
imraldi (homecare syringe pack) adalimumab,adalimumab
imraldi 40mg/0.8ml solution for injection pre-filled pen,adalimumab
imraldi 40mg/0.8ml solution for injection pre-filled pen (biogen idec ltd),adalimumab
imraldi 40mg/0.8ml solution for injection pre-filled pen (biogen idec ltd) 2 pre-filled disposable injection,adalimumab
imraldi 40mg/0.8ml solution for injection pre-filled syringes (biogen idec ltd),adalimumab
imraldi adalimumab,adalimumab
imraldi topup charge,adalimumab
imraldi topup charge- amgevita m2,adalimumab
inflectra,infliximab
inflectra,infliximab
inflectra  100mg powder for concentrate for solution for infusion,infliximab
inflectra (infliximab biosimilar),infliximab
inflectra (infliximab),infliximab
inflectra (infliximab),infliximab
inflectra (infliximab) <700mg civasvialshare,infliximab
inflectra (infliximab) intra-venous injection 100m,infliximab
inflectra 100mg powder for concentrate for solution for infusion vials,infliximab
inflectra 100mg powder for concentrate for solution for infusion vials (pfizer ltd),infliximab
inflectra 100mg powder for concentrate for solution for infusion vials (pfizer ltd) 1 vial,infliximab
inflectra(infliximab)intra-venousinjection100mg,infliximab
infliximab,infliximab
infliximab,infliximab
infliximab,infliximab
infliximab-remicade!100mg!infusion,infliximab
infliximab-remsima!100mg!infusion,infliximab
infliximab 'remicade' (10ml vi,infliximab
infliximab 'remicade' (10ml vial),infliximab
infliximab 'remsima' (10ml via,infliximab
infliximab 'remsima' (10ml vial),infliximab
infliximab 'remsima' (275ml pa,infliximab
infliximab 'remsima' (275ml pack),infliximab
infliximab 'remsima' (280ml pack),infliximab
infliximab 'remsima' (285ml pa,infliximab
infliximab 'remsima' (285ml pack),infliximab
infliximab 'remsima' (290ml pa,infliximab
infliximab 'remsima' (290ml pack),infliximab
infliximab 'remsima' (295ml pa,infliximab
infliximab 'remsima' (295ml pack),infliximab
infliximab 'remsima' (300ml pa,infliximab
infliximab 'remsima' (300ml pack),infliximab
infliximab 'remsima' (305ml pa,infliximab
infliximab 'remsima' (305ml pack),infliximab
infliximab 'remsima' (560ml pa,infliximab
infliximab 'remsima' (560ml pack),infliximab
infliximab 'remsima' (565ml pa,infliximab
infliximab 'remsima' (565ml pack),infliximab
infliximab - inflectra,infliximab
infliximab - inflectra (cytos),infliximab
infliximab - remicade,infliximab
infliximab - remsima,infliximab
infliximab - zessly,infliximab
infliximab -infusion (inflectra),infliximab
infliximab  (flixabi) 100 mg injection,infliximab
infliximab  (remicade - chargeable product) 100 mg injection,infliximab
infliximab  (remsima),infliximab
infliximab  (remsima) 100 mg injection,infliximab
infliximab (anti-tnf),infliximab
infliximab (flixabi),infliximab
infliximab (flixabi),infliximab
infliximab (flixabi),infliximab
infliximab (flixabi) (gain share),infliximab
infliximab (flixabi) 100 mg injection,infliximab
infliximab (free) 100mg intravenous infusion,infliximab
infliximab (infectra).....mg in 250ml n/s bag civas,infliximab
infliximab (infectra).....mg in 250ml n/s bag civas ,infliximab
infliximab (infectra).....mg in 250ml n/s bag civas  aseptic fee,infliximab
infliximab (infectra).....mg in 250ml n/s bag civas aseptic fee,infliximab
infliximab (inflectra),infliximab
infliximab (inflectra),infliximab
infliximab (inflectra) (p),infliximab
infliximab (inflectra) 1 mg infusion,infliximab
infliximab (inflectra) 100 mg injection,infliximab
infliximab (inflectra) 100 mg injection *,infliximab
infliximab (inflectra) 100 mg injection 1 x vial pack,infliximab
infliximab (inflectra) 100 mg injection for infusion,infliximab
infliximab (inflectra) 100 mg intravenous infusion,infliximab
infliximab (inflectra) 100 mg powder for solution,infliximab
infliximab (inflectra) 160mg in 250ml sodium chloride 0.9% intravenous infusion,infliximab
infliximab (inflectra) 300mg in n/s 0.9% 250ml  inf,infliximab
infliximab (inflectra) 300mg infusion bag fkld1130,infliximab
